2022-02-02 16:07:26,675 - DEBUG    - transport - Разбор сообщения от сервера {'response': 200}
2022-02-02 16:07:26,675 - INFO     - transport - Соединение с сервером успешно установлено.
2022-02-02 16:07:26,675 - DEBUG    - transport - Запрос списка всех известных пользователей 2
2022-02-02 16:07:26,677 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1068, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59500), raddr=('127.0.0.1', 7777)>, {'action': 'get_users', 'time': 1643807246.6765006, 'name_account': '2'}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 16:07:27,191 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1068, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59500), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции main() 
2022-02-02 16:07:27,285 - DEBUG    - transport - Запрос контакт листа для пользователя Thread-1
2022-02-02 16:07:27,285 - DEBUG    - transport - Сформирован запрос {'action': 'get_contacts', 'time': 1643807247.2856529, 'user': '2'}
2022-02-02 16:07:27,286 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1068, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59500), raddr=('127.0.0.1', 7777)>, {'action': 'get_contacts', 'time': 1643807247.2856529, 'user': '2'}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 16:07:27,714 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1068, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59500), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции main() 
2022-02-02 16:07:27,714 - DEBUG    - transport - Получен ответ {'response': 202, 'data_list': ['1']}
2022-02-02 16:07:27,819 - DEBUG    - transport - Запущен процесс - приёмник собщений с сервера.
2022-02-02 16:07:46,669 - DEBUG    - transport - Сформирован словарь сообщения: {'action': 'message', 'from': '2', 'to': '1', 'time': 1643807266.6695535, 'message_text': '30'}
2022-02-02 16:07:46,672 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1068, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59500), raddr=('127.0.0.1', 7777)>, {'action': 'message', 'from': '2', 'to': '1', 'time': 1643807266.6695535, 'message_text': '30'}), {}. Функция send_msg вызывается из функции main() 
2022-02-02 16:07:47,877 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=1108, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 59499), raddr=('127.0.0.1', 7777)>,), {}. Функция recieve_msg вызывается из функции self._bootstrap_inner() 
2022-02-02 16:07:47,877 - DEBUG    - transport - Принято сообщение с сервера: {'action': 'message', 'from': '2', 'to': '1', 'time': 1643807266.6695535, 'message_text': '30'}
2022-02-02 16:07:47,877 - DEBUG    - transport - Разбор сообщения от сервера {'action': 'message', 'from': '2', 'to': '1', 'time': 1643807266.6695535, 'message_text': '30'}
2022-02-02 16:07:47,878 - DEBUG    - transport - Получено сообщение от пользователя 2:30
2022-02-02 16:07:47,974 - DEBUG    - transport - Сообщение от пользователя сохранено в бд
2022-02-02 16:07:47,974 - DEBUG    - transport - self.new_message.emit(message[SENDER])
2022-02-02 16:29:12,372 - CRITICAL - transport - Потеряно соединение с сервером.
2022-02-02 16:29:13,090 - CRITICAL - transport - Потеряно соединение с сервером.
