2022-01-11 10:50:04,025 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 10:50:05,550 - DEBUG    - decos - Вызов функции check_msg из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x0000022AC1B06220>, {'action': 'presence', 'time': 1641887404.534387, 'user': {'name_account': 'client1'}}, [], <socket.socket fd=304, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53709)>, [<socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53710)>, <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53711)>, <socket.socket fd=304, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53709)>], {'client3': <socket.socket fd=456, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53710)>, 'client2': <socket.socket fd=448, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53711)>, 'client1': <socket.socket fd=304, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 53709)>}), {}. Функция check_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:32,480 - INFO     - server - Сервер запущен: ip-адрес для подключений: , номер порта для подключений: 7777
2022-01-11 10:53:32,481 - DEBUG    - decos - Вызов функции cmd_arg_parse из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x00000258F2CFE730>,), {}. Функция cmd_arg_parse вызывается из функции server.server_connect() 
2022-01-11 10:53:32,481 - DEBUG    - server - Сервер в ожидании клиента
2022-01-11 10:53:32,977 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 54004)
2022-01-11 10:53:32,977 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 54005)
2022-01-11 10:53:32,977 - DEBUG    - server - Сервер соединен с клиентом ('127.0.0.1', 54006)
2022-01-11 10:53:32,977 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>,), {}. Функция recieve_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:32,978 - DEBUG    - server - Разбор сообщения от клиента {'action': 'presence', 'time': 1641887612.9776728, 'user': {'name_account': 'client2'}}.
2022-01-11 10:53:32,978 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>, {'response': 200}), {}. Функция send_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:32,978 - DEBUG    - decos - Вызов функции check_msg из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x00000258F2CFE730>, {'action': 'presence', 'time': 1641887612.9776728, 'user': {'name_account': 'client2'}}, [], <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>, [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>, <socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54005)>, <socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>], {'client2': <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>}), {}. Функция check_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:32,978 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>,), {}. Функция recieve_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:32,978 - DEBUG    - server - Разбор сообщения от клиента {'action': 'presence', 'time': 1641887612.9776728, 'user': {'name_account': 'client3'}}.
2022-01-11 10:53:32,979 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>, {'response': 200}), {}. Функция send_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:32,979 - DEBUG    - decos - Вызов функции check_msg из модуля __main__. Эта функция вызвана с параметрами (<__main__.ServSock object at 0x00000258F2CFE730>, {'action': 'presence', 'time': 1641887612.9776728, 'user': {'name_account': 'client3'}}, [], <socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>, [<socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>, <socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54005)>, <socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>], {'client2': <socket.socket fd=476, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54004)>, 'client3': <socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54006)>}), {}. Функция check_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:33,989 - DEBUG    - decos - Вызов функции recieve_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54005)>,), {}. Функция recieve_msg вызывается из функции server.server_connect() 
2022-01-11 10:53:33,989 - DEBUG    - server - Разбор сообщения от клиента {'action': 'presence', 'time': 1641887612.9776728, 'user': {'name_account': 'client1'}}.
2022-01-11 10:53:33,989 - DEBUG    - decos - Вызов функции send_msg из модуля common.utils. Эта функция вызвана с параметрами (<socket.socket fd=480, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 54005)>, {'response': 200}), {}. Функция send_msg вызывается из функции server.server_connect() 
